"","V1","V27","V28","Label"
"109","SRR3935889","GSM2244985","Microglia(CD45)",2
"110","SRR3935890","GSM2244986","Microglia(CD45)",2
"111","SRR3935891","GSM2244987","Microglia(CD45)",1
"112","SRR3935892","GSM2244988","Microglia(CD45)",1
"113","SRR3935893","GSM2244989","Microglia(CD45)",2
"114","SRR3935894","GSM2244990","Microglia(CD45)",2
"115","SRR3935895","GSM2244991","Microglia(CD45)",2
"116","SRR3935908","GSM2245004","Oligodendrocytes(GC)",1
"117","SRR3935909","GSM2245005","Oligodendrocytes(GC)",2
"118","SRR3935912","GSM2245008","Oligodendrocytes(GC)",3
"119","SRR3935913","GSM2245009","Oligodendrocytes(GC)",2
"120","SRR3935919","GSM2245015","Oligodendrocytes(GC)",1
"121","SRR3935921","GSM2245017","Oligodendrocytes(GC)",1
"122","SRR3935923","GSM2245019","Oligodendrocytes(GC)",1
"123","SRR3935935","GSM2245031","Astrocytes(HEPACAM)",2
